Replication Factor	Partition	Message Size	Acks	Batch Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
2	2	500	-1	100000	83927.82207	40.02	723.16	1472	755	1050	1382	1450
2	2	500	-1	100000	81898.61043	39.05333	739.45333	1509	923.66667	1262.66667	1442.33333	1487.33333
2	2	500	-1	200000	75895.5677	36.19	805.49	2813	754	2678	2766	2806
2	2	500	-1	200000	84083.07408	40.09	720.33	1057	742	850	865	878
2	2	500	-1	200000	78591.63785	37.48	773.41	944	875	904	916	934
2	2	500	-1	200000	79523.42654	37.92	766.41	1604.66667	790.33333	1477.33333	1515.66667	1539.33333
2	2	500	-1	500000	71058.05443	33.88	866.67	3096	733	2834	2975	3022
2	2	500	-1	500000	87397.30816	41.67	690.13	1186	701	861	1110	1175
2	2	500	-1	500000	78241.13919	37.31	776.05	1835	713	1773	1798	1807
2	2	500	-1	500000	78898.83393	37.62	777.61667	2039	715.66667	1822.66667	1961	2001.33333
2	2	1000	-1	16384	40238.2102	38.37	775.54	979	798	949	972	977
2	2	1000	-1	16384	37503.75038	35.77	825.08	1632	816	1551	1610	1625
2	2	1000	-1	16384	29389.29054	28.03	1079.54	9230	471	8747	9141	9216
2	2	1000	-1	16384	35710.41704	34.05667	893.38667	3947	695	3749	3907.66667	3939.33333
2	2	1000	-1	50000	59213.64282	56.47	507.63	1265	515	924	1177	1236
2	2	1000	-1	50000	41552.39757	39.63	739.93	1012	777	960	990	1004
2	2	1000	-1	50000	37338.51094	35.61	829.6	1159	834	1006	1032	1157
2	2	1000	-1	50000	46034.85045	43.90333	692.38667	1145.33333	708.66667	963.33333	1066.33333	1132.33333
2	2	1000	-1	100000	35742.369	34.09	858.04	2068	733	1684	2045	2055
2	2	1000	-1	100000	41196.34177	39.29	755.03	929	780	889	900	907
2	2	1000	-1	100000	38423.11535	36.64	818.78	1484	853	1065	1301	1463
2	2	1000	-1	100000	38453.94204	36.67333	810.61667	1493.66667	788.66667	1212.66667	1415.33333	1475
2	2	1000	-1	200000	39679.39053	37.84	781.62	1088	764	910	1013	1077
2	2	1000	-1	200000	39145.07164	37.33	792.55	1525	780	963	1356	1497
2	2	1000	-1	200000	40430.17708	38.56	777.9	1903	754	1295	1694	1873
2	2	1000	-1	200000	39751.54641	37.91	784.02333	1505.33333	766	1056	1354.33333	1482.33333
2	2	1000	-1	500000	39246.46782	37.43	790.55	1018	800	921	938	991
2	2	1000	-1	500000	36922.16807	35.21	812.99	4415	740	2943	4325	4386
2	2	1000	-1	500000	47366.42668	45.17	646.07	1264	647	879	1182	1235
2	2	1000	-1	500000	41178.35419	39.27	749.87	2232.33333	729	1581	2148.33333	2204
2	5	100	-1	16384	106163.8746	10.12	466.3	39408	716	1236	1385	1405
2	5	100	-1	16384	697641.9701	66.53	338.83	714	61	246	261	266
2	5	100	-1	16384	582546.895	55.56	399.8	2165	437	2148	2162	2163
2	5	100	-1	16384	462117.5799	44.07	401.64333	14095.66667	404.66667	1210	1269.33333	1278
2	5	100	-1	50000	1004823.151	95.83	52.76	388	10	329	372	375
2	5	100	-1	50000	1093613.298	104.3	39.49	515	7	422	500	514
2	5	100	-1	50000	816993.4641	77.91	145.37	1138	4	135	216	232
2	5	100	-1	50000	971809.9712	92.68	79.20667	680.33333	7	295.33333	362.66667	373.66667
2	5	100	-1	100000	512873.1152	48.91	417.7	1293	875	1152	1218	1288
2	5	100	-1	100000	453185.8969	43.22	551.41	1373	1089	1183	1309	1367
2	5	100	-1	100000	422119.0376	40.26	578.7	1749	1066	1314	1499	1573
2	5	100	-1	100000	462726.0165	44.13	515.93667	1471.66667	1010	1216.33333	1342	1409.33333
2	5	100	-1	200000	238994.3119	22.79	1134.8	12100	802	11518	11946	12094
2	5	100	-1	200000	715512.3068	68.24	195.64	993	4	16	26	39
2	5	100	-1	200000	402965.8285	38.43	580.38	2058	3	59	91	920
2	5	100	-1	200000	452490.8158	43.15333	636.94	5050.33333	269.66667	3864.33333	4021	4351
2	5	100	-1	500000	341157.2052	32.54	646.21	3762	3231	3667	3726	3743
2	5	100	-1	500000	334001.336	31.85	652.18	3975	3303	3852	3914	3957
2	5	100	-1	500000	341716.7851	32.59	646.1	3855	3179	3677	3788	3809
2	5	100	-1	500000	338958.4421	32.32667	648.16333	3864	3237.66667	3732	3809.33333	3836.33333
2	5	500	-1	16384	82304.52675	39.25	723.46	1779	831	1692	1732	1775
2	5	500	-1	16384	82379.10866	39.28	740.75	2727	710	2120	2640	2723
2	5	500	-1	16384	70886.79379	33.8	853.37	3216	854	2553	3087	3205
2	5	500	-1	16384	78523.4764	37.44333	772.52667	2574	798.33333	2121.66667	2486.33333	2567.66667
2	5	500	-1	50000	101061.142	48.19	576.34	1634	625	1288	1482	1623
2	5	500	-1	50000	89150.39672	42.51	665.81	2000	705	1364	1852	1994
2	5	500	-1	50000	75505.88946	36	786.06	1657	902	1626	1648	1652
2	5	500	-1	50000	88572.47606	42.23333	676.07	1763.66667	744	1426	1660.66667	1756.33333
2	5	500	-1	100000	67553.87422	32.21	876.59	3077	1049	2908	3013	3043
2	5	500	-1	100000	78733.95796	37.54	740.93	1467	915	1442	1457	1461
2	5	500	-1	100000	75018.75469	35.77	781.48	2448	868	1533	2252	2429
2	5	500	-1	100000	73768.86229	35.17333	799.66667	2330.66667	944	1961	2240.66667	2311
2	5	500	-1	200000	74850.2994	35.69	765.41	1828	936	1464	1663	1803
2	5	500	-1	200000	81439.85667	38.83	704.31	1528	892	1353	1405	1516
