Replication Factor	Partition	Message Size	Acks	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	50	0	1296864.271	61.84333	7.21667	258.33333	0	51.66667	151.33333	171.33333
1	1	100	0	1108156.028	105.68	11.12	232	0	111	216	231
1	1	100	0	1042970.38	99.47	15.46	285	0	149	270	283
1	1	100	0	1123090.746	107.11	3.2	138	0	26	59	111
1	1	100	0	1091405.718	104.08667	9.92667	218.33333	0	95.33333	181.66667	208.33333
1	1	200	0	734214.3906	140.04	110.95	316	120	244	299	313
1	1	200	0	763358.7786	145.6	103.95	298	89	242	270	298
1	1	200	0	666666.6667	127.16	180.75	542	182	522	540	541
1	1	200	0	721413.2786	137.6	131.88333	385.33333	130.33333	336	369.66667	384
1	1	500	0	346740.638	165.34	161.02	258	158	246	257	258
1	1	500	0	261028.4521	124.47	222.39	1083	172	1058	1076	1083
1	1	500	0	350754.1214	167.25	158.11	208	159	193	207	208
1	1	500	0	319507.7372	152.35333	180.50667	516.33333	163	499	513.33333	516.33333
1	1	1000	0	179726.8152	171.4	159.5	196	162	186	192	195
1	1	1000	0	186219.7393	177.59	155.14	220	158	186	209	219
1	1	1000	0	164853.2806	157.22	177.95	553	155	505	552	553
1	1	1000	0	176933.2784	168.73667	164.19667	323	158.33333	292.33333	317.66667	322.33333
1	2	10	0	1735689.242	16.55	21.59	1272	0	5	894	1234
1	2	10	0	1670732.115	15.93	8.44	722	0	12	240	672
1	2	10	0	1792435.92	17.09	0.69	137	0	3	5	24
1	2	10	0	1732952.426	16.52333	10.24	710.33333	0	6.66667	379.66667	643.33333
1	2	20	0	1642683.488	31.33	0.91	131	0	2	6	77
1	2	20	0	1571832.757	29.98	5.83	334	0	18	157	318
1	2	20	0	1610409.688	30.72	1.09	137	0	3	14	90
1	2	20	0	1608308.644	30.67667	2.61	200.66667	0	7.66667	59	161.66667
1	2	50	0	1378929.95	65.75	0.41	136	0	2	2	6
1	2	50	0	1438641.922	68.6	0.4	140	0	2	2	12
1	2	50	0	1213444.97	57.86	51.57	1069	0	615	982	1060
1	2	50	0	1343672.281	64.07	17.46	448.33333	0	206.33333	328.66667	359.33333
1	2	100	0	1122334.456	107.03	6.68	236	0	28	198	233
1	2	100	0	1175917.215	112.14	1.17	136	0	1	32	67
1	2	100	0	1163873.371	111	0.42	135	0	1	4	20
1	2	100	0	1154041.681	110.05667	2.75667	169	0	10	78	106.66667
1	2	200	0	919793.9662	175.44	13.25	134	0	71	80	85
1	2	200	0	805412.3711	153.62	40.84	365	1	363	364	365
1	2	200	0	855285.6654	163.13	21.35	133	1	89	95	97
1	2	200	0	860164.0009	164.06333	25.14667	210.66667	0.66667	174.33333	179.66667	182.33333
1	2	500	0	408163.2653	194.63	132.77	157	132	154	156	157
1	2	500	0	424628.4501	202.48	123.91	162	130	157	161	162
1	2	500	0	440917.1076	210.25	114.14	177	117	154	174	176
1	2	500	0	424569.6077	202.45333	123.60667	165.33333	126.33333	155	163.66667	165
1	2	1000	0	180766.4497	172.39	160.54	596	128	559	588	594
1	2	1000	0	227376.08	216.84	123.62	176	125	155	173	175
1	2	1000	0	60672.24851	57.86	521.58	6109	123	6098	6108	6109
1	2	1000	0	156271.5928	149.03	268.58	2293.66667	125.33333	2270.66667	2289.66667	2292.66667
1	5	10	0	1287896.35	12.28	1	14674	1	4	5	9
1	5	10	0	1859427.296	17.73	30.7	1528	1	91	1082	1487
1	5	10	0	1998880.627	19.06	2.05	312	1	3	6	272
1	5	10	0	1715401.424	16.35667	11.25	5504.66667	1	32.66667	364.33333	589.33333
1	5	20	0	1641281.513	31.3	30.02	1053	1	155	852	1034
1	5	20	0	1830563.081	34.92	3.79	332	0	3	138	316
1	5	20	0	1795590.031	34.25	1.51	133	0	3	16	111
1	5	20	0	1755811.542	33.49	11.77333	506	0.33333	53.66667	335.33333	487
1	5	50	0	1547987.616	73.81	0.63	142	0	2	3	10
1	5	50	0	1475361.464	70.35	11.07	551	0	4	380	535
1	5	50	0	1607975.559	76.67	0.64	139	0	2	3	10
1	5	50	0	1543774.879	73.61	4.11333	277.33333	0	2.66667	128.66667	185
1	5	100	0	1316135.825	125.52	0.5	138	0	1	2	9
1	5	100	0	1311647.429	125.09	0.49	135	0	2	3	10
1	5	100	0	1313370.108	125.25	1.28	145	0	2	8	96
1	5	100	0	1313717.787	125.28667	0.75667	139.33333	0	1.66667	4.33333	38.33333
1	5	200	0	930059.5238	177.39	14.29	157	1	126	153	156
1	5	200	0	830840.8109	158.47	47.55	420	1	386	415	420
1	5	200	0	928677.5632	177.13	22.29	237	1	183	231	236
1	5	200	0	896525.966	170.99667	28.04333	271.33333	1	231.66667	266.33333	270.66667
1	5	500	0	450247.6362	214.69	115.84	252	109	246	250	251
1	5	500	0	503018.1087	239.86	82	145	100	130	143	145
1	5	500	0	460829.4931	219.74	89.14	481	62	427	480	480
1	5	500	0	471365.0793	224.76333	95.66	292.66667	90.33333	267.66667	291	292
1	5	1000	0	281373.1007	268.34	91.23	138	96	114	125	130
1	5	1000	0	248632.5211	237.11	102.19	263	101	137	178	263
1	5	1000	0	178443.9686	170.18	158.17	738	112	688	721	735
1	5	1000	0	236149.8635	225.21	117.19667	379.66667	103	313	341.33333	376
2	1	10	0	1302626.094	12.42	3.19	284	0	11	68	193
2	1	10	0	1363921.547	13.01	7.38	624	0	3	222	590
2	1	10	0	1309243.257	12.49	11.24	900	0	4	465	868
2	1	10	0	1325263.633	12.64	7.27	602.66667	0	6	251.66667	550.33333
2	1	20	0	1298701.299	24.77	4.2	333	0	3	147	314
2	1	20	0	1302761.855	24.85	13.41	699	0	3	502	679
2	1	20	0	1232984.81	23.52	9.86	419	0	33	289	400
2	1	20	0	1278149.321	24.38	9.15667	483.66667	0	13	312.66667	464.33333
2	1	50	0	1010101.01	48.17	81.64	1495	0	1165	1428	1493
2	1	50	0	1076426.265	51.33	39	654	0	441	627	648
2	1	50	0	1135331.517	54.14	14.47	402	0	96	349	396
2	1	50	0	1073952.931	51.21333	45.03667	850.33333	0	567.33333	801.33333	845.66667
2	1	100	0	968616.8152	92.37	1.59	134	0	5	37	67
2	1	100	0	956571.6472	91.23	7.68	150	0	66	137	149
2	1	100	0	880591.7577	83.98	45.1	659	0	596	650	658
2	1	100	0	935260.0734	89.19333	18.12333	314.33333	0	222.33333	274.66667	291.33333
