Replication Factor	Partition	Message Size	Acks	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
5	1	500	-1	33554432	25816.44508	12.31	2472.77	4491	2664	3623	4193	4464
5	1	500	-1	33554432	68115.25101	32.48	875.18	1548	808	1221	1281	1519
5	1	500	-1	33554432	22684.99614	10.82	2769.69	4825	3154	4079	4640	4814
5	1	500	-1	33554432	38872.23074	18.53667	2039.21333	3621.33333	2208.66667	2974.33333	3371.33333	3599
5	1	500	-1	100000000	68535.39853	32.68	2518.54	3345	2478	3252	3329	3343
5	1	500	-1	100000000	27911.13096	13.31	6561.59	9822	7117	9466	9599	9794
5	1	500	-1	100000000	52982.93949	25.26	3125.62	4836	2651	4740	4827	4835
5	1	500	-1	100000000	49809.82299	23.75	4068.58333	6001	4082	5819.33333	5918.33333	5990.66667
5	1	500	-1	200000000	26820.43717	12.79	10610.12	18292	12688	18166	18261	18287
5	1	500	-1	200000000	49600.71425	23.65	6197.63	10324	5840	10088	10272	10318
5	1	500	-1	200000000	32484.40748	15.49	8678.76	14560	9150	14418	14527	14542
