Replication Factor	Partition	Message Size	Acks	Linger Ms	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	5	100	-1	5	1048576	1109049.072	105.77	145.44667	2402	1	2306.66667	2351	2356.66667
1	5	100	-1	5	5000000	1456027.956	138.86	0.93	140	1	2	3	10
1	5	100	-1	5	5000000	948226.8159	90.43	92.5	803	35	647	777	801
1	5	100	-1	5	5000000	654793.0854	62.45	320	567	447	524	543	563
1	5	100	-1	5	5000000	1019682.619	97.24667	137.81	503.33333	161	391	441	458
1	5	100	-1	5	10000000	654107.797	62.38	350.77	534	447	500	520	531
1	5	100	-1	5	10000000	624063.9041	59.52	397.56	1720	320	1662	1705	1718
1	5	100	-1	5	10000000	741399.7628	70.71	280.29	451	371	430	441	448
1	5	100	-1	5	10000000	673190.488	64.20333	342.87333	901.66667	379.33333	864	888.66667	899
1	5	500	-1	0	1048576	175315.568	83.6	333.85	448	362	408	424	429
1	5	500	-1	0	1048576	167785.2349	80.01	346.62	844	381	682	795	843
1	5	500	-1	0	1048576	108119.7967	51.56	565.14	5127	247	5001	5087	5126
1	5	500	-1	0	1048576	150406.8666	71.72333	415.20333	2139.66667	330	2030.33333	2102	2132.66667
1	5	500	-1	0	5000000	232666.3564	110.94	238.62	669	254	571	657	669
1	5	500	-1	0	5000000	205296.6537	97.89	280.95	398	310	365	378	395
1	5	500	-1	0	5000000	182581.7053	87.06	319.59	656	335	572	646	655
1	5	500	-1	0	5000000	206848.2385	98.63	279.72	574.33333	299.66667	502.66667	560.33333	573
1	5	500	-1	0	10000000	179307.8716	85.5	327.02	441	354	408	425	438
1	5	500	-1	0	10000000	178062.6781	84.91	326.76	604	355	470	591	602
1	5	500	-1	0	10000000	172681.7475	82.34	338.84	1068	354	867	1027	1067
1	5	500	-1	0	10000000	176684.0991	84.25	330.87333	704.33333	354.33333	581.66667	681	702.33333
1	5	500	-1	2	1048576	171291.5382	81.68	340.55	435	367	398	421	432
1	5	500	-1	2	1048576	174094.7075	83.01	348.76	880	355	652	846	878
1	5	500	-1	2	1048576	172028.2126	82.03	339.2	448	363	418	432	445
1	5	500	-1	2	1048576	172471.4861	82.24	342.83667	587.66667	361.66667	489.33333	566.33333	585
1	5	500	-1	2	5000000	56287.29033	26.84	849.6	12541	340	1172	12510	12522
1	5	500	-1	2	5000000	418585.1821	199.6	113.26	191	136	167	172	190
1	5	500	-1	2	5000000	388349.5146	185.18	145.95	316	144	192	205	208
1	5	500	-1	2	5000000	287740.6623	137.20667	369.60333	4349.33333	206.66667	510.33333	4295.66667	4306.66667
1	5	500	-1	2	10000000	289017.341	137.81	184.9	335	207	286	320	322
1	5	500	-1	2	10000000	246123.554	117.36	229.23	343	257	308	328	340
1	5	500	-1	2	10000000	180245.1334	85.95	322.83	1215	290	1185	1210	1214
1	5	500	-1	2	10000000	238462.0095	113.70667	245.65333	631	251.33333	593	619.33333	625.33333
1	5	500	-1	5	1048576	205380.9817	97.93	277.81	388	304	363	373	385
1	5	500	-1	5	1048576	181983.6215	86.78	330.83	396	336	370	382	393
1	5	500	-1	5	1048576	185632.0772	88.52	312.02	410	343	383	398	407
1	5	500	-1	5	1048576	190998.8935	91.07667	306.88667	398	327.66667	372	384.33333	395
1	5	500	-1	5	5000000	177777.7778	84.77	338.4	1017	347	849	995	1016
1	5	500	-1	5	5000000	181225.0816	86.41	319.19	438	350	404	430	437
1	5	500	-1	5	5000000	129500.1295	61.75	467.78	2055	315	1978	2015	2037
1	5	500	-1	5	5000000	162834.3296	77.64333	375.12333	1170	337.33333	1077	1146.66667	1163.33333
1	5	500	-1	5	10000000	198767.6406	94.78	285.23	455	306	377	398	453
1	5	500	-1	5	10000000	188536.9532	89.9	307.48	481	337	372	451	455
1	5	500	-1	5	10000000	181323.6627	86.46	318.23	423	350	405	417	422
1	5	500	-1	5	10000000	189542.7522	90.38	303.64667	453	331	384.66667	422	443.33333
1	5	1000	-1	0	1048576	85792.72478	81.82	348.13	444	365	414	419	431
1	5	1000	-1	0	1048576	86073.33448	82.09	345.8	429	368	408	415	424
1	5	1000	-1	0	1048576	85704.49092	81.73	346.81	1317	349	1133	1290	1315
1	5	1000	-1	0	1048576	85856.85006	81.88	346.91333	730	360.66667	651.66667	708	723.33333
1	5	1000	-1	0	5000000	63203.13488	60.28	490.8	3093	340	2988	3070	3092
1	5	1000	-1	0	5000000	101667.3444	96.96	289.12	916	307	805	887	915
1	5	1000	-1	0	5000000	95602.29446	91.17	311.35	393	332	370	373	391
1	5	1000	-1	0	5000000	86824.25793	82.80333	363.75667	1467.33333	326.33333	1387.66667	1443.33333	1466
1	5	1000	-1	0	10000000	71746.30507	68.42	427.98	2323	317	2265	2298	2322
