Replication Factor	Partition	Message Size	Acks	Batch Size	Linger ms	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	5	500	-1	500000	0	132736.3409	63.29333	433.21667	811.33333	458.66667	746.66667	785.66667	801.33333
1	5	500	-1	500000	2	141103.4288	67.28	404.43	546	420	482	516	536
1	5	500	-1	500000	2	137779.0025	65.7	417.67	917	444	833	886	908
1	5	500	-1	500000	2	146563.0954	69.89	390.72	542	400	472	499	534
1	5	500	-1	500000	2	141815.1756	67.62333	404.27333	668.33333	421.33333	595.66667	633.66667	659.33333
1	5	500	-1	500000	5	138523.3412	66.05	417.31	827	439	657	800	822
1	5	500	-1	500000	5	121124.031	57.76	413.36	1691	429	511	580	1680
1	5	500	-1	500000	5	164500.7403	78.44	345.48	576	362	437	525	545
1	5	500	-1	500000	5	141382.7042	67.41667	392.05	1031.33333	410	535	635	1015.66667
1	5	1000	-1	16384	0	79101.408	75.44	378.35	500	392	474	482	497
1	5	1000	-1	16384	0	65928.27004	62.87	462.39	1692	407	1635	1666	1680
1	5	1000	-1	16384	0	84203.4355	80.3	354.52	972	363	871	948	971
1	5	1000	-1	16384	0	76411.03785	72.87	398.42	1054.66667	387.33333	993.33333	1032	1049.33333
1	5	1000	-1	16384	2	76312.57631	72.78	394.72	1144	404	884	1079	1127
1	5	1000	-1	16384	2	74582.3389	71.13	405.83	511	405	485	493	499
1	5	1000	-1	16384	2	75528.70091	72.03	397.9	545	409	485	524	544
1	5	1000	-1	16384	2	75474.53871	71.98	399.48333	733.33333	406	618	698.66667	723.33333
1	5	1000	-1	16384	5	71225.07123	67.93	423.55	1185	463	966	1135	1182
1	5	1000	-1	16384	5	41956.86834	40.01	753.18	9051	168	9030	9049	9051
1	5	1000	-1	16384	5	114968.9584	109.64	253.36	478	267	353	435	477
1	5	1000	-1	16384	5	76050.29932	72.52667	476.69667	3571.33333	299.33333	3449.66667	3539.66667	3570
1	5	1000	-1	200000	0	91575.09158	87.33	322.39	714	325	604	703	709
1	5	1000	-1	200000	0	84373.94533	80.47	353.05	451	382	418	436	448
1	5	1000	-1	200000	0	63678.04381	60.73	481.6	2008	391	1868	1962	1968
1	5	1000	-1	200000	0	79875.69357	76.17667	385.68	1057.66667	366	963.33333	1033.66667	1041.66667
1	5	1000	-1	200000	2	80231.06547	76.51	369.69	560	386	461	498	522
1	5	1000	-1	200000	2	66934.40428	63.83	457.63	1627	386	1437	1586	1609
1	5	1000	-1	200000	2	81739.41475	77.95	364.96	506	382	455	475	501
1	5	1000	-1	200000	2	76301.62817	72.76333	397.42667	897.66667	384.66667	784.33333	853	877.33333
1	5	1000	-1	200000	5	62042.43703	59.17	497.57	1605	387	1296	1597	1601
1	5	1000	-1	200000	5	83654.00703	79.78	359.31	484	374	429	445	478
1	5	1000	-1	200000	5	30408.07639	29	1053.25	12187	366	11980	12139	12183
1	5	1000	-1	200000	5	58701.50681	55.98333	636.71	4758.66667	375.66667	4568.33333	4727	4754
1	5	1000	-1	500000	0	197550.3753	188.4	125.85	309	133	239	282	292
1	5	1000	-1	500000	0	123152.7094	117.45	227.06	383	233	328	357	377
1	5	1000	-1	500000	0	94732.85335	90.34	302.04	768	287	424	722	749
1	5	1000	-1	500000	0	138478.646	132.06333	218.31667	486.66667	217.66667	330.33333	453.66667	472.66667
1	5	1000	-1	500000	2	85851.64835	81.87	337.4	497	351	434	455	485
1	5	1000	-1	500000	2	79808.4597	76.11	367.76	749	391	532	700	725
1	5	1000	-1	500000	2	73356.80751	69.96	403.54	537	419	462	503	522
1	5	1000	-1	500000	2	79672.30519	75.98	369.56667	594.33333	387	476	552.66667	577.33333
1	5	1000	-1	500000	5	68737.97085	65.55	433.53	997	422	756	921	933
1	5	1000	-1	500000	5	72611.09498	69.25	411.32	588	424	487	539	568
1	5	1000	-1	500000	5	69473.39169	66.25	429.99	815	438	675	803	809
